0.5         0.5         0.5       
0.59103432  0.59103432  0.59103432
0.69864314  0.69864314  0.69864314
0.82584415  0.82584415  0.82584415
0.97620447  0.97620447  0.97620447
1.15394069  1.15394069  1.15394069
1.36403711  1.36403711  1.36403711
1.6123855   1.6123855   1.6123855 
1.90595034  1.90595034  1.90595034
2.25296413  2.25296413  2.25296413
2.66315825  2.66315825  2.66315825
3.14803586  3.14803586  3.14803586
3.72119448  3.72119448  3.72119448
4.3987073   4.3987073   4.3987073 
5.19957398  5.19957398  5.19957398
6.14625335  6.14625335  6.14625335
7.26529336  7.26529336  7.26529336
8.58807547  8.58807547  8.58807547
10.15169472 10.15169472 10.15169472
12         12         12
